,comment,comment_id,author_url,author_name,reply_count,like_count,date,vidid,total_reply_counts,vid_title,just_date
0,"Hallo niece and nephew! If you want to see uncle roger collab with Jamie Oliver, tweet him, tell him to make video with uncle roger, we make egg fried rice properly: https://twitter.com/jamieoliver

Next week video is another video with auntie Hersha. Make sure you subscribe and ring bell!

BAI BAI 👋",UgzHDb50Y8TG6KITclt4AaABAg,http://www.youtube.com/channel/UCVjlpEjEY9GpksqbEesJnNA,@mrnigelng,501,41004,2020-08-30 14:08:20+00:00,t_KdbASIkB8,501,Uncle Roger HATE Jamie Oliver Egg Fried Rice,2020-08-30
1,"Uncle Rodger game him the beating he didn't deserve, but the beating that he needed 😂",UgyClksb-rjRh_hAEmF4AaABAg,http://www.youtube.com/channel/UCsGVcD3NpgPQESG82SV7ogg,@user-up5ex1vm9l,0,0,2024-01-28 17:08:49+00:00,t_KdbASIkB8,0,Uncle Roger HATE Jamie Oliver Egg Fried Rice,2024-01-28
2,"Jamie Oliver should stay away from Asian cooking, or do it under guidence of a pro!",UgyOHSufiDFejEulhMh4AaABAg,http://www.youtube.com/channel/UCssQpF-o4Ss7Ee6W0yWKMew,@eshaleemadgavkar,0,0,2024-01-27 09:35:55+00:00,t_KdbASIkB8,0,Uncle Roger HATE Jamie Oliver Egg Fried Rice,2024-01-27
3,Who put jam In rice,UgwvfEERwCi_5CPtyLZ4AaABAg,http://www.youtube.com/channel/UCbyWYhOYX5woHNlGgfHyGSw,@brooklynnlanteigne446,0,0,2024-01-26 14:46:37+00:00,t_KdbASIkB8,0,Uncle Roger HATE Jamie Oliver Egg Fried Rice,2024-01-26
4,Not jamie oliver but chili olive oil,UgxP-duNUVxUXE6KPL94AaABAg,http://www.youtube.com/channel/UCNDT9kVcMs9FjuWK4x0hnKA,@YzPinda,0,0,2024-01-25 20:10:57+00:00,t_KdbASIkB8,0,Uncle Roger HATE Jamie Oliver Egg Fried Rice,2024-01-25
5,❤❤😂😂😂🎉🎉😢😢😮😮😅😊 emotional damage,UgznX_OR_Z7TrQiyMnd4AaABAg,http://www.youtube.com/channel/UCOVCBytcKokPkHUN_4Bw0JQ,@Jen-zt7dx,0,0,2024-01-24 03:03:26+00:00,t_KdbASIkB8,0,Uncle Roger HATE Jamie Oliver Egg Fried Rice,2024-01-24
